Trip_count,Weekday,Precipitation,Temp,Gust_speed
73740,1,1,90,19.9
63765,1,0,74,8.9
74220,0,0,76,14.1
71900,0,0,77,17
79027,1,0,74,15
82744,1,0,75,8.1
65082,1,0,74,10.1
83267,1,0,81,14.1
76815,1,0,86,15
64237,0,0,81,13
62667,0,0,78,12.1
37792,1,1,74,8.9
83716,1,0,82,8.9
84833,1,0,87,12.1
89656,1,0,74,15
55227,1,1,67,19.9
78220,0,0,75,14.1
72515,0,0,77,13
84809,1,0,78,12.1
87584,1,0,76,12.1
90448,1,0,88,13
70159,1,0,81,14.1
87636,1,0,72,16.1
75457,0,0,74,8.9
78968,0,0,82,8.9
82106,1,0,77,12.1
93117,1,0,76,16.1
90306,1,0,69,13
89655,1,0,70,8.9
90534,1,0,78,10.1
98755,0,0,84,6.9
76422,0,0,86,10.1
85489,1,0,89,13
93044,1,0,76,15
94015,1,0,79,8.9
84593,1,0,83,15
93268,1,0,76,10.1
81603,0,0,82,8.9
75753,0,0,80,14.1
76553,1,0,71,14.1
87033,1,0,81,13
79821,1,0,93,14.1
39067,1,1,63,15
83360,1,0,66,18.1
69131,0,0,61,13
60532,0,0,70,10.1
77323,1,0,79,13
80569,1,0,64,16.1
50407,1,1,59,17
84856,1,0,71,17
79369,1,0,64,19.9
70751,0,0,67,12.1
67616,0,0,67,8.1
77630,1,0,72,15
83345,1,0,64,8.9
44056,1,1,66,21
67322,1,0,57,23
73589,1,0,58,17
66879,0,0,60,8.9
28551,0,1,59,14.1
78441,1,0,67,12.1
54806,1,1,63,13
80480,1,0,65,15
83431,1,0,67,12.1
81152,1,0,65,10.1
68073,0,0,63,12.1
26758,0,1,67,14.1
76742,1,0,63,13
53188,1,0,59,8.9
68639,1,0,63,10.1
49656,1,1,71,15
70641,1,0,71,21.9
58579,0,0,53,10.1
52253,0,0,54,13
70117,1,0,56,13
73768,1,0,61,10.1
72714,1,0,54,12.1
56782,1,0,57,13
50295,1,0,41,18.1
37993,0,0,41,12.1
42121,0,0,51,14.1
64883,1,0,62,10.1
39188,1,0,57,17
43945,1,0,34,18.1
54642,1,0,45,12.1
59521,1,0,51,12.1
36896,0,0,42,19.9
32100,0,0,43,19.9
35621,1,1,42,15
57419,1,0,48,12.1
57625,1,0,49,16.1
62696,1,0,53,12.1
51063,1,0,53,18.1
40088,0,0,45,12.1
18146,0,1,46,17
58709,1,0,53,13
63638,1,0,61,10.1
51356,1,0,59,21.9
16173,1,0,53,23
23219,1,0,40,14.1
26517,0,0,43,13
10759,0,1,39,23
18018,1,1,37,19.9
39230,1,0,36,17
47384,1,0,39,13
49027,1,0,42,19.9
51607,1,0,50,19.9
34510,0,0,38,15
32308,0,0,46,10.1
15221,1,1,55,14.1
42435,1,0,58,17
38180,1,1,40,17
45360,1,0,36,15
32961,1,1,48,14.1
30263,0,1,56,19.9
33886,0,0,49,21
41717,1,0,37,12.1
19303,1,1,35,17
37898,1,0,36,19.9
29451,1,0,25,19.9
34209,1,0,33,12.1
24247,0,0,35,13
23726,0,0,46,14.1
37364,1,0,57,14.1
25894,1,0,47,15
13082,1,0,47,8.9
25226,1,0,46,13
31808,1,0,54,14.1
28520,0,0,51,10.1
17968,0,1,44,10.1
12138,1,1,41,25.1
31510,1,0,45,16.1
